date,close
9/6/2012,9.915
9/5/2012,9.57
9/4/2012,9.41
8/31/2012,9.34
8/30/2012,9.31
8/29/2012,9.32
8/28/2012,9.34
8/27/2012,9.39
8/24/2012,9.49
8/23/2012,9.45
8/22/2012,9.49
8/21/2012,9.53
8/20/2012,9.63
8/17/2012,9.63
8/16/2012,9.59
8/15/2012,9.49
8/14/2012,9.44
8/13/2012,9.4
8/10/2012,9.35
8/9/2012,9.34
8/8/2012,9.35
8/7/2012,9.31
8/6/2012,9.15
8/3/2012,9.09
8/2/2012,8.92
8/1/2012,9.19
7/31/2012,9.24
7/30/2012,9.1
7/27/2012,9
7/26/2012,8.96
7/25/2012,8.97
7/24/2012,9.06
7/23/2012,9.17
7/20/2012,9.21
7/19/2012,9.35
7/18/2012,9.38
7/17/2012,9.34
7/16/2012,9.26
7/13/2012,9.27
7/12/2012,9.13
7/11/2012,9.33
7/10/2012,9.35
7/9/2012,9.45
7/6/2012,9.5
7/5/2012,9.57
7/3/2012,9.6
7/2/2012,9.39
6/29/2012,9.59
6/28/2012,10.09
6/27/2012,10.02
6/26/2012,10.01
6/25/2012,10.01
6/22/2012,10.19
6/21/2012,10.27
6/20/2012,10.65
6/19/2012,10.56
6/18/2012,10.34
6/15/2012,10.35
6/14/2012,10.41
6/13/2012,10.3
6/12/2012,10.5
6/11/2012,10.45
6/8/2012,10.66
6/7/2012,10.55
6/6/2012,10.57
6/5/2012,10.19
6/4/2012,10.04
6/1/2012,10.12
5/31/2012,10.56
5/30/2012,10.66
5/29/2012,10.84
5/25/2012,10.6
5/24/2012,10.59
5/23/2012,10.41
5/22/2012,10.19
5/21/2012,10.2
5/18/2012,10.01
5/17/2012,10.01
5/16/2012,10.16
5/15/2012,10.15
5/14/2012,10.32
5/11/2012,10.58
5/10/2012,10.71
5/9/2012,10.69
5/8/2012,10.61
5/7/2012,10.66
5/4/2012,10.67
5/3/2012,10.92
5/2/2012,11.1
5/1/2012,11.23
4/30/2012,11.28
4/27/2012,11.6
4/26/2012,11.87
4/25/2012,11.73
4/24/2012,11.39
4/23/2012,11.35
4/20/2012,11.41
4/19/2012,11.66
4/18/2012,11.79
4/17/2012,11.91
4/16/2012,11.88
4/13/2012,11.92
4/12/2012,12.07
4/11/2012,11.91
4/10/2012,11.79
4/9/2012,12.22
4/5/2012,12.47
4/4/2012,12.505
4/3/2012,12.64
4/2/2012,12.62
3/30/2012,12.475
3/29/2012,12.5
3/28/2012,12.32
3/27/2012,12.32
3/26/2012,12.48
3/23/2012,12.32
3/22/2012,12.32
3/21/2012,12.57
3/20/2012,12.54
3/19/2012,12.63
3/16/2012,12.51
3/15/2012,12.9
3/14/2012,12.88
3/13/2012,12.7
3/12/2012,12.43
3/9/2012,12.58
3/8/2012,12.46
3/7/2012,12.24
3/6/2012,12.09
3/5/2012,12.46
3/2/2012,12.72
3/1/2012,12.66
2/29/2012,12.38
2/28/2012,12.25
2/27/2012,12.3
2/24/2012,12.23
2/23/2012,12.4
2/22/2012,12.28
2/21/2012,12.53
2/17/2012,12.75
2/16/2012,12.74
2/15/2012,12.38
2/14/2012,12.48
2/13/2012,12.54
2/10/2012,12.44
2/9/2012,12.69
2/8/2012,12.84
2/7/2012,12.88
2/6/2012,12.96
2/3/2012,12.79
2/2/2012,12.26
2/1/2012,12.33
1/31/2012,12.42
1/30/2012,12.29
1/27/2012,12.21
1/26/2012,12.79
1/25/2012,12.93
1/24/2012,12.82
1/23/2012,12.66
1/20/2012,12.59
1/19/2012,12.61
1/18/2012,12.34
1/17/2012,12.015
1/13/2012,12.04
1/12/2012,12.14
1/11/2012,12.07
1/10/2012,11.8
1/9/2012,11.8
1/6/2012,11.71
1/5/2012,11.59
1/4/2012,11.3
1/3/2012,11.13
12/30/2011,10.76
12/29/2011,10.68
12/28/2011,10.52
12/27/2011,10.81
12/23/2011,10.95
12/22/2011,10.94
12/21/2011,10.66
12/20/2011,10.33
12/19/2011,10.02
12/16/2011,10.25
12/15/2011,10.25
12/14/2011,10.15
12/13/2011,10.48
